id,Name,Breed Group,BredFor,Minimum Life Span,Maximum Life Span,Minimum Height,Maximum Height,Minimum Weight,Maximum Weight,Temperament,Image
55,FieldSpaniel,Sporting,"Birdflushing,retrieving",11,15,17,18,35,50,"Docile,Cautious,Sociable,Sensitive,Adaptable,Familial",https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg
56,FinnishLapphund,Herding,Herdingreindeer,12,15,16,21,33,53,"Friendly,Keen,Faithful,Calm,Courageous",https://cdn2.thedogapi.com/images/S1KMGg5Vm_1280.jpg
57,GermanPinscher,Working,"Watchdog,Huntingverminonthefarm.",12,14,17,20,25,45,"Spirited,Lively,Intelligent,Loving,EvenTempered,Familial",https://cdn2.thedogapi.com/images/B1u4zgqE7_1280.jpg
58,GermanShepherdDog,Herding,"Herding,Guarddog",10,13,22,26,50,90,"Alert,Loyal,Obedient,Curious,Confident,Intelligent,Watchful,Courageous",https://cdn2.thedogapi.com/images/SJyBfg5NX_1280.jpg
59,GermanShorthairedPointer,Sporting,Generalhunting,12,14,21,25,45,70,"Boisterous,Bold,Affectionate,Intelligent,Cooperative,Trainable",https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg
60,GiantSchnauzer,Working,"Herding,guarding",10,12,24,28,65,90,"StrongWilled,Kind,Loyal,Intelligent,Dominant,Powerful",https://cdn2.thedogapi.com/images/H1NIzlcV7_1280.jpg
61,GlenofImaalTerrier,Terrier,"Ridthehomeandfarmofvermin,andhuntbadgerandfox",12,15,13,14,32,40,"Spirited,Agile,Loyal,Gentle,Active,Courageous",https://cdn2.thedogapi.com/images/H1oLMe94m_1280.jpg
62,GoldenRetriever,Sporting,Retrieving,10,12,22,24,55,75,"Intelligent,Kind,Reliable,Friendly,Trustworthy,Confident",https://cdn2.thedogapi.com/images/HJ7Pzg5EQ_1280.jpg
63,GordonSetter,Sporting,Findandpointgamebirds,10,12,23,27,45,80,"Fearless,Alert,Loyal,Confident,Gay,Eager",https://cdn2.thedogapi.com/images/SJ5vzx5NX_1280.jpg
64,GreatDane,Working,"Hunting&holdingboars,Guardian",7,10,28,32,110,190,"Friendly,Devoted,Reserved,Gentle,Confident,Loving",https://cdn2.thedogapi.com/images/B1Edfl9NX_1280.jpg
65,GreatPyrenees,Working,Sheepguardian,10,12,25,32,85,115,"StrongWilled,Fearless,Affectionate,Patient,Gentle,Confident",https://cdn2.thedogapi.com/images/B12uzg9V7_1280.png
